,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Region,City,Place,Lat,Lon,Description
طنجة تطوان الحسيمة,Tanger,مغارة هرقل وميناء طنجة المتوسط,35.7595,-5.94,🏙️ بوابة إفريقيا؛ تمتاز بتاريخها الدولي كمنطقة طنجة الدولية سابقاً. اقتصادها يرتكز على اللوجستيك (أكبر ميناء في إفريقيا) والصناعة (Zone Franche). معالمها: القصبة، ومنارة كاب سبارتيل.
طنجة تطوان الحسيمة,Tetouan,المدينة العتيقة ومتحف الإثنوغرافيا,35.5711,-5.3711,🏘️ الحمامة البيضاء؛ تمتاز بطابع أندلسي أصيل مسجل في اليونسكو. تشتهر بصناعة الزليج التطواني والنسيج والتطريز. اقتصادها سياحي وخدماتي.
طنجة تطوان الحسيمة,Chefchaouen,رأس الماء والوطاء الحمام,35.1713,-5.2631,💙 الجوهرة الزرقاء؛ تاريخها مرتبط باللاجئين الأندلسيين. تعتمد على السياحة الإيكولوجية والصناعات التقليدية (الصوف والمنسوجات الجبلية). معالمها: القصبة الزرقاء.
طنجة تطوان الحسيمة,Al Hoceima,شاطئ كيمادو وبارك تالسمطانت,35.2472,-3.9322,🏖️ منارة المتوسط؛ تمتاز بمناظرها الجبلية والبحرية. يعتمد اقتصادها على الصيد البحري والسياحة الصيفية. تاريخها مرتبط بمقاومة الريف الباسلة.
الشرق,Oujda,سوق القدس وباب الغربي,34.6867,-1.9114,🕌 مدينة الألفية؛ تمتاز بعراقة الأسواق والمساجد. اقتصادها تجاري حدودي وتشتهر بإنتاج الحبوب والمواشي. ميزتها الثقافية: فن الغرناطي والركادة.
الشرق,Nador,ميناء الناظور وبحيرة مارتشيكا,35.1667,-2.9333,🌊 بوابة أوروبا؛ تمتاز بنمو اقتصادي سريع بفضل مشروع 'ناظور غرب المتوسط'. تعتمد على التجارة والصيد والأنشطة السياحية البيئية في البحيرة.
الشرق,Berkane,منتزه تافوغالت,34.9167,-2.3333,🍊 عاصمة البرتقال؛ تمتاز بجودة أراضيها الفلاحية. اقتصادها فلاحي محض (الحوامض والعنب). تاريخياً تضم مغارة 'الحمام' التي شهدت أقدم العمليات الجراحية في التاريخ.
فاس مكناس,Fes,جامع القرويين ودباغة الجلود,34.0648,-5,📜 العاصمة العلمية؛ تمتاز بأقدم مدينة عتيقة حية في العالم. اقتصادها يرتكز على الصناعة التقليدية (الفخار، النحاس، الجلود). تاريخها يمتد لأكثر من 12 قرناً.
فاس مكناس,Meknes,صهريج السواني وحبس قارة,33.8972,-5.5636,🏰 العاصمة الإسماعيلية؛ تمتاز بأسوارها التي تمتد لـ 40 كلم. اقتصادها فلاحي (الزيتون والكروم) وصناعي. ميزتها التاريخية: عاصمة المولى إسماعيل.
فاس مكناس,Sefrou,شلالات بن صميم وحي الملاح,33.828,-4.8521,🍒 حديقة المغرب؛ تمتاز بوفرة المياه والفاكهة (الكرز). تاريخها العريق يجمع بين تعايش الأديان. صناعتها المحلية: النسج والنجارة التقليدية.
